구분,일시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,power
동해하수종말처리장 태양광,2018-04-19,0,0,0,0,0,0,137,544,844,1370,401,346,346,328,1571,1280,864,351,40,0,0,0,0,0,8422
동해하수종말처리장 태양광,2018-04-20,0,0,0,0,0,0,104,450,913,1337,394,360,418,409,1643,1307,862,380,61,0,0,0,0,0,8638
동해하수종말처리장 태양광,2018-04-21,0,0,0,0,0,0,103,452,934,1395,400,392,445,445,1640,1355,961,338,72,0,0,0,0,0,8932
동해하수종말처리장 태양광,2018-04-22,0,0,0,0,0,0,119,495,965,1417,406,400,349,311,315,308,209,88,2,0,0,0,0,0,5384
동해하수종말처리장 태양광,2018-04-23,0,0,0,0,0,0,0,2,32,63,106,96,153,140,95,112,65,20,0,0,0,0,0,0,884
동해하수종말처리장 태양광,2018-04-24,0,0,0,0,0,0,0,20,76,76,198,247,286,250,171,178,353,216,61,0,0,0,0,0,2132
동해하수종말처리장 태양광,2018-04-25,0,0,0,0,0,2,126,547,1046,1453,614,418,477,423,1552,1397,963,454,81,0,0,0,0,0,9553
동해하수종말처리장 태양광,2018-04-26,0,0,0,0,0,0,128,542,839,1264,414,411,400,324,1386,1174,644,176,31,0,0,0,0,0,7733
동해하수종말처리장 태양광,2018-04-27,0,0,0,0,0,0,135,470,909,1314,392,367,497,383,1604,1390,963,452,81,0,0,0,0,0,8957
동해하수종말처리장 태양광,2018-04-28,0,0,0,0,0,2,139,497,983,1426,418,446,497,544,1674,1355,923,434,83,0,0,0,0,0,9421
동해하수종말처리장 태양광,2018-04-29,0,0,0,0,0,5,139,531,1004,1395,409,412,475,479,1026,992,756,443,83,0,0,0,0,0,8149
동해하수종말처리장 태양광,2018-04-30,0,0,0,0,0,0,72,268,889,1289,401,322,355,320,1409,1147,747,346,63,0,0,0,0,0,7628
동해하수종말처리장 태양광,2018-05-01,0,0,0,0,0,5,135,450,880,1283,398,315,319,320,308,448,448,234,42,0,0,0,0,0,5585
동해하수종말처리장 태양광,2018-05-02,0,0,0,0,0,0,9,54,108,196,193,250,315,311,310,265,121,66,0,0,0,0,0,0,2198
동해하수종말처리장 태양광,2018-05-03,0,0,0,0,0,0,142,518,679,1265,560,639,729,409,207,299,443,144,0,0,0,0,0,0,6034
동해하수종말처리장 태양광,2018-05-04,0,0,0,0,0,5,139,567,1080,1543,470,536,572,655,1786,1456,1004,488,103,0,0,0,0,0,10404
동해하수종말처리장 태양광,2018-05-05,0,0,0,0,0,5,153,531,1004,1409,412,370,331,371,1363,994,837,155,25,0,0,0,0,0,7960
동해하수종말처리장 태양광,2018-05-06,0,0,0,0,0,0,25,63,119,221,322,313,315,311,313,311,445,214,68,0,0,0,0,0,3040
동해하수종말처리장 태양광,2018-05-07,0,0,0,0,0,0,18,153,209,337,257,310,315,322,317,349,565,351,79,0,0,0,0,0,3582
동해하수종말처리장 태양광,2018-05-08,0,0,0,0,0,0,16,59,50,88,135,171,144,196,229,209,130,72,4,0,0,0,0,0,1503
동해하수종말처리장 태양광,2018-05-09,0,0,0,0,0,0,27,58,256,574,355,315,311,311,331,320,248,101,22,0,0,0,0,0,3229
동해하수종말처리장 태양광,2018-05-10,0,0,0,0,0,13,160,560,1067,1476,430,498,504,549,1685,1341,806,394,122,0,0,0,0,0,9605
동해하수종말처리장 태양광,2018-05-11,0,0,0,0,0,18,175,542,1015,1384,394,363,403,355,974,967,473,146,22,0,0,0,0,0,7231
동해하수종말처리장 태양광,2018-05-12,0,0,0,0,0,0,7,47,113,533,232,278,319,317,319,315,376,274,81,0,0,0,0,0,3211
동해하수종말처리장 태양광,2018-05-13,0,0,0,0,0,0,97,304,612,1170,421,438,439,315,306,400,385,500,108,2,0,0,0,0,5497
동해하수종말처리장 태양광,2018-05-14,0,0,0,0,0,11,171,567,1035,1406,398,393,427,475,1598,1177,617,356,113,0,0,0,0,0,8744
동해하수종말처리장 태양광,2018-05-15,0,0,0,0,0,27,241,542,904,1273,387,313,311,322,419,1253,601,340,117,2,0,0,0,0,7052
동해하수종말처리장 태양광,2018-05-16,0,0,0,0,0,0,18,101,182,374,335,281,261,283,95,25,20,54,115,0,0,0,0,0,2144
동해하수종말처리장 태양광,2018-05-17,0,0,0,0,0,11,65,304,612,608,306,271,326,304,292,313,185,86,0,0,0,0,0,0,3683
동해하수종말처리장 태양광,2018-05-18,0,0,0,0,0,0,31,103,189,221,218,300,216,286,279,290,295,85,11,0,0,0,0,0,2524
동해하수종말처리장 태양광,2018-05-19,0,0,0,0,0,20,126,549,956,1435,450,360,349,522,1778,1494,1066,506,130,2,0,0,0,0,9743
동해하수종말처리장 태양광,2018-05-20,0,0,0,0,0,13,176,560,1125,1481,412,372,338,311,319,324,347,306,148,7,0,0,0,0,6239
동해하수종말처리장 태양광,2018-05-21,0,0,0,0,0,22,194,653,900,927,367,429,418,319,682,1067,727,342,117,4,0,0,0,0,7168
동해하수종말처리장 태양광,2018-05-22,0,0,0,0,0,18,167,596,1044,1291,385,344,317,320,317,328,452,113,9,0,0,0,0,0,5701
동해하수종말처리장 태양광,2018-05-23,0,0,0,0,0,7,140,608,1082,1471,405,426,473,473,1732,1453,1031,527,135,2,0,0,0,0,9965
동해하수종말처리장 태양광,2018-05-24,0,0,0,0,0,25,178,549,941,1283,391,316,315,315,895,1184,882,437,128,5,0,0,0,0,7844
동해하수종말처리장 태양광,2018-05-25,0,0,0,0,0,22,187,553,1039,1339,398,385,418,434,1555,1109,715,423,160,7,0,0,0,0,8744
동해하수종말처리장 태양광,2018-05-26,0,0,0,0,0,23,171,553,1021,1426,412,310,310,319,1300,1186,875,475,108,2,0,0,0,0,8491
동해하수종말처리장 태양광,2018-05-27,0,0,0,0,0,4,59,153,337,923,434,314,322,306,311,211,167,191,43,0,0,0,0,0,3775
동해하수종말처리장 태양광,2018-05-28,0,0,0,0,0,5,83,256,607,1264,407,362,389,430,1615,1321,896,409,43,0,0,0,0,0,8087
동해하수종말처리장 태양광,2018-05-29,0,0,0,0,0,5,85,119,288,538,326,317,324,311,293,310,288,153,14,0,0,0,0,0,3371
동해하수종말처리장 태양광,2018-05-30,0,0,0,0,0,23,144,252,52,221,187,334,430,380,310,774,979,484,140,4,0,0,0,0,4714
동해하수종말처리장 태양광,2018-05-31,0,0,0,0,0,23,175,576,1048,1436,416,413,443,511,1696,1408,994,524,124,5,0,0,0,0,9792
동해하수종말처리장 태양광,2018-06-01,0,0,0,0,0,23,169,563,1012,1361,389,315,344,317,1570,1368,986,511,133,7,0,0,0,0,9068
동해하수종말처리장 태양광,2018-06-02,0,0,0,0,0,22,166,554,1003,1370,389,320,353,338,1598,1339,945,475,139,7,0,0,0,0,9018
동해하수종말처리장 태양광,2018-06-03,0,0,0,0,0,31,214,599,990,1323,374,320,407,335,1253,1289,855,533,144,5,0,0,0,0,8672
동해하수종말처리장 태양광,2018-06-04,0,0,0,0,0,47,202,446,830,1256,400,317,362,346,1127,1130,378,191,40,0,0,0,0,0,7072
동해하수종말처리장 태양광,2018-06-05,0,0,0,0,0,0,29,58,191,508,347,382,410,439,697,1220,1008,506,144,9,0,0,0,0,5948
동해하수종말처리장 태양광,2018-06-06,0,0,0,0,0,29,194,556,977,1354,391,328,353,376,1609,1332,934,479,142,7,0,0,0,0,9061
동해하수종말처리장 태양광,2018-06-07,0,0,0,0,0,25,200,524,896,1273,387,313,311,313,1201,1192,758,391,122,5,0,0,0,0,7911
동해하수종말처리장 태양광,2018-06-08,0,0,0,0,0,29,212,589,965,1319,391,314,319,313,1319,1249,772,421,149,7,0,0,0,0,8368
동해하수종말처리장 태양광,2018-06-09,0,0,0,0,0,0,32,162,301,403,320,319,311,320,319,326,331,176,40,0,0,0,0,0,3360
동해하수종말처리장 태양광,2018-06-10,0,0,0,0,0,0,31,142,292,605,281,322,319,322,317,182,158,61,18,0,0,0,0,0,3050
동해하수종말처리장 태양광,2018-06-11,0,0,0,0,0,0,7,49,67,212,284,315,319,533,756,655,452,212,117,4,0,0,0,0,3982
동해하수종말처리장 태양광,2018-06-12,0,0,0,0,0,13,117,567,1019,1366,1735,1890,1949,1879,1386,317,787,439,104,2,0,0,0,0,13570
동해하수종말처리장 태양광,2018-06-13,0,0,0,0,0,18,162,250,364,464,346,322,324,310,310,297,166,56,16,0,0,0,0,0,3405
동해하수종말처리장 태양광,2018-06-14,0,0,0,0,0,27,144,196,234,371,320,319,308,308,310,324,383,292,70,0,0,0,0,0,3606
동해하수종말처리장 태양광,2018-06-15,0,0,0,0,0,20,106,347,675,1161,398,340,358,328,556,873,470,218,59,0,0,0,0,0,5909
동해하수종말처리장 태양광,2018-06-16,0,0,0,0,0,7,119,259,448,698,405,367,513,367,1447,1426,734,261,90,9,0,0,0,0,7150
동해하수종말처리장 태양광,2018-06-17,0,0,0,0,0,41,198,562,945,1309,391,319,315,324,322,365,1051,340,133,7,0,0,0,0,6622
동해하수종말처리장 태양광,2018-06-18,0,0,0,0,0,16,176,452,781,1166,396,369,322,337,553,1280,952,506,131,9,0,0,0,0,7446
동해하수종말처리장 태양광,2018-06-19,0,0,0,0,0,31,245,392,776,1031,371,311,126,234,315,304,292,241,79,0,0,0,0,0,4748
동해하수종말처리장 태양광,2018-06-20,0,0,0,0,0,29,173,500,977,1339,400,349,365,317,1559,1345,940,490,148,14,0,0,0,0,8945
동해하수종말처리장 태양광,2018-06-21,0,0,0,0,0,18,146,542,990,1366,403,326,367,365,1631,1361,999,549,166,11,0,0,0,0,9240
동해하수종말처리장 태양광,2018-06-22,0,0,0,0,0,18,151,515,970,1341,403,319,338,313,1294,1285,1015,533,176,25,0,0,0,0,8696
동해하수종말처리장 태양광,2018-06-23,0,0,0,0,0,0,38,124,403,531,353,326,380,319,315,603,947,270,79,14,0,0,0,0,4702
동해하수종말처리장 태양광,2018-06-24,0,0,0,0,0,22,155,484,900,1258,380,315,311,313,1229,1271,882,428,153,7,0,0,0,0,8108
동해하수종말처리장 태양광,2018-06-25,0,0,0,0,0,11,216,502,738,974,358,310,337,315,311,459,680,421,121,7,0,0,0,0,5760
동해하수종말처리장 태양광,2018-06-26,0,0,0,0,0,0,14,70,119,194,126,121,112,252,144,209,167,115,83,11,0,0,0,0,1737
동해하수종말처리장 태양광,2018-06-27,0,0,0,0,0,7,194,193,527,841,387,333,405,385,319,1420,1003,522,148,20,0,0,0,0,6704
동해하수종말처리장 태양광,2018-06-28,0,0,0,0,0,16,97,221,538,659,342,319,317,319,313,324,331,83,36,0,0,0,0,0,3915
동해하수종말처리장 태양광,2018-06-29,0,0,0,0,0,13,157,459,673,1184,385,320,333,347,333,455,988,412,200,32,0,0,0,0,6291
동해하수종말처리장 태양광,2018-06-30,0,0,0,0,0,4,115,239,401,621,340,312,310,317,311,320,387,198,56,0,0,0,0,0,3931
동해하수종말처리장 태양광,2018-07-01,0,0,0,0,0,0,25,77,11,13,56,154,310,286,137,340,398,106,94,0,0,0,0,0,2007
동해하수종말처리장 태양광,2018-07-02,0,0,0,0,0,0,0,41,7,36,144,315,297,203,209,29,5,16,23,0,0,0,0,0,1325
동해하수종말처리장 태양광,2018-07-03,0,0,0,0,0,7,85,292,614,756,362,344,376,315,315,292,475,104,7,0,0,0,0,0,4344
동해하수종말처리장 태양광,2018-07-04,0,0,0,0,0,0,9,65,355,785,360,324,310,313,315,337,457,380,122,2,0,0,0,0,4134
동해하수종말처리장 태양광,2018-07-05,0,0,0,0,0,0,41,119,158,320,301,313,322,310,311,268,367,135,40,0,0,0,0,0,3005
동해하수종말처리장 태양광,2018-07-06,0,0,0,0,0,0,40,99,148,346,333,286,304,302,286,263,169,97,25,0,0,0,0,0,2698
동해하수종말처리장 태양광,2018-07-07,0,0,0,0,0,7,74,324,742,1193,400,410,396,427,328,344,614,252,65,9,0,0,0,0,5585
동해하수종말처리장 태양광,2018-07-08,0,0,0,0,0,9,95,232,427,659,358,319,319,317,315,315,241,97,54,4,0,0,0,0,3761
동해하수종말처리장 태양광,2018-07-09,0,0,0,0,0,0,41,133,194,288,286,272,173,191,238,117,76,72,58,0,0,0,0,0,2139
동해하수종말처리장 태양광,2018-07-10,0,0,0,0,0,0,95,403,718,1348,479,311,311,322,317,329,401,121,59,0,0,0,0,0,5214
동해하수종말처리장 태양광,2018-07-11,0,0,0,0,0,0,11,52,121,236,299,314,313,304,322,328,382,218,45,2,0,0,0,0,2947
동해하수종말처리장 태양광,2018-07-12,0,0,0,0,0,18,142,419,547,1260,356,319,326,319,322,337,585,356,121,11,0,0,0,0,5438
동해하수종말처리장 태양광,2018-07-13,0,0,0,0,0,18,151,389,810,1165,387,322,322,335,313,1217,884,547,164,11,0,0,0,0,7035
동해하수종말처리장 태양광,2018-07-14,0,0,0,0,0,5,108,477,932,1300,400,315,320,311,1478,1348,974,508,146,5,0,0,0,0,8627
